City_ID,City,Lat,Lon,Temp Max,Humidity,Cloudiness,Wind Speed,Country,Date
0,mombaca,-5.7431,-39.6275,28.76,34,28,0.91,BR,1690754533
1,longkou,37.6508,120.3286,26.17,88,100,6.55,CN,1690754533
2,bluff,-46.6,168.3333,13.22,73,81,8.05,NZ,1690754534
3,ouahigouya,13.5828,-2.4216,31.58,48,64,3.59,BF,1690754534
4,chekhov,55.1431,37.4711,16.16,74,70,2.3,RU,1690754534
5,qarqin,37.4185,66.0436,29.95,18,0,4.23,AF,1690754535
6,new norfolk,-42.7826,147.0587,7.72,88,69,5.37,AU,1690754535
7,kapaa,22.0752,-159.319,29.18,74,75,3.6,US,1690754244
8,ushuaia,-54.8,-68.3,-0.19,80,75,3.09,AR,1690754410
9,port lincoln,-34.7333,135.8667,13.3,67,49,4.78,AU,1690754536
10,cherskiy,68.75,161.3,5.43,94,100,2.78,RU,1690754536
11,boffa,10.1667,-14.0333,25.28,94,100,0.67,GN,1690754245
12,avarua,-21.2078,-159.775,25.03,94,100,8.23,CK,1690754537
13,rikitea,-23.1203,-134.9692,20.61,67,83,10.81,PF,1690754246
14,sao filipe,14.8961,-24.4956,25.84,80,98,1.7,CV,1690754537
15,hermanus,-34.4187,19.2345,12.11,77,99,7.43,ZA,1690754537
16,albany,42.6001,-73.9662,24.13,58,81,1.34,US,1690754417
17,mayor pablo lagerenza,-19.9309,-60.7718,27.63,39,0,2.63,PY,1690754246
18,gat,31.61,34.7642,26.38,100,0,0.28,IL,1690754538
19,souillac,-20.5167,57.5167,21.21,73,20,1.03,MU,1690754538
20,geraldton,-28.7667,114.6,7.23,93,0,4.12,AU,1690754538
21,haines junction,60.7522,-137.5108,23.97,46,31,1.54,CA,1690754539
22,tessalit,20.1986,1.0114,37.04,15,42,1.64,ML,1690754539
23,hobart,-42.8794,147.3294,7.92,73,40,8.75,AU,1690754418
24,narsaq,60.9167,-46.05,13.12,68,48,2.59,GL,1690754539
25,saint-pierre,-21.3393,55.4781,18.82,59,0,5.14,RE,1690754248
26,port alfred,-33.5906,26.891,13.68,48,6,10.93,ZA,1690754540
27,demidov,55.2706,31.515,15.28,88,100,1.7,RU,1690754540
28,mahebourg,-20.4081,57.7,21.16,73,20,1.03,MU,1690754540
29,lucapa,-8.4192,20.7447,24.19,25,5,0.54,AO,1690754540
30,kombissiri,12.0656,-1.3375,28.99,70,78,3.97,BF,1690754249
31,nioro,13.35,-15.75,23.92,87,100,3.29,GM,1690754541
32,bredasdorp,-34.5322,20.0403,10.96,79,98,6.46,ZA,1690754541
33,nemuro,43.3236,145.575,19.19,88,100,6.01,JP,1690754251
34,butaritari,3.0707,172.7902,26.55,83,99,2.94,KI,1690754541
35,namibe,-15.1961,12.1522,16.69,74,1,1.85,AO,1690754542
36,curvelo,-18.7564,-44.4308,22.36,56,81,2.29,BR,1690754464
37,cape town,-33.9258,18.4232,13.38,81,75,7.2,ZA,1690754101
38,biskamzha,53.4497,89.5272,14.05,91,42,0.66,RU,1690754542
39,leshukonskoye,64.8989,45.7622,17.66,99,100,1.52,RU,1690754543
40,nikolskoye,59.7035,30.7861,18.22,82,63,1.21,RU,1690754543
41,kidal,18.4411,1.4078,37.76,18,52,2.06,ML,1690754543
42,torbay,47.6666,-52.7314,16.05,96,100,4.12,CA,1690754543
43,chuy,-33.6971,-53.4616,12.07,80,81,2.64,UY,1690754278
44,hudiksvall,61.729,17.1036,15.67,93,91,0.91,SE,1690754544
45,mataura,-46.1927,168.8643,13.04,83,19,2.0,NZ,1690754544
46,vaini,-21.2,-175.2,23.09,60,20,4.63,TO,1690754545
47,santa cruz,-17.8,-63.1667,28.7,51,0,6.17,BO,1690754411
48,hofn,64.2539,-15.2082,10.7,83,100,4.38,IS,1690754545
49,zyryanka,65.75,150.85,14.89,41,90,4.82,RU,1690754545
50,djougou,9.7085,1.666,22.78,91,87,1.64,BJ,1690754546
51,remedios,22.4947,-79.5458,29.95,71,23,4.92,CU,1690754546
52,jamestown,42.097,-79.2353,23.62,53,100,4.63,US,1690754255
53,gobabis,-22.45,18.9667,2.74,44,0,4.27,NA,1690754546
54,kismayo,-0.3582,42.5454,24.23,79,5,7.04,SO,1690754547
55,shagonar,51.5333,92.8,16.91,60,2,0.15,RU,1690754547
56,skjervoy,70.0311,20.9714,12.0,93,96,1.4,NO,1690754548
57,fortuna,40.5982,-124.1573,19.81,70,0,7.2,US,1690754548
58,oranjemund,-28.55,16.4333,10.69,72,0,5.08,NA,1690754548
59,san patricio,28.017,-97.5169,37.4,40,98,6.77,US,1690754548
60,tuktoyaktuk,69.4541,-133.0374,24.0,57,0,1.54,CA,1690754258
61,cockburn town,21.4612,-71.1419,30.98,66,40,4.63,TC,1690754549
62,guaraniacu,-25.1008,-52.8781,15.52,80,5,0.09,BR,1690754258
63,busselton,-33.65,115.3333,13.0,77,91,1.4,AU,1690754549
64,padang,-0.9492,100.3543,25.03,90,54,1.21,ID,1690754550
65,qaanaaq,77.484,-69.3632,5.69,81,100,3.63,GL,1690754550
66,bethel,41.3712,-73.414,26.46,52,0,5.14,US,1690754259
67,georgetown,5.4112,100.3354,24.99,91,40,1.03,MY,1690754360
